stamp,open,high,low,close,volume
2023-09-14 22:07,15482.25,15482.25,15481.25,15481.25,2.0
2023-09-14 22:09,15482.75,15483.25,15482.75,15483.25,2.0
2023-09-14 22:10,15484.75,15486.5,15484.75,15486.5,10.0
2023-09-14 22:11,15481.5,15481.5,15481.5,15481.5,1.0
2023-09-14 22:12,15480.25,15480.25,15480.25,15480.25,1.0
2023-09-14 22:13,15482.0,15482.0,15481.0,15481.5,12.0
2023-09-14 22:14,15483.0,15483.0,15482.25,15482.75,4.0
2023-09-14 22:19,15482.75,15482.75,15482.75,15482.75,1.0
2023-09-14 22:20,15484.5,15486.5,15484.5,15486.5,7.0
2023-09-14 22:21,15486.5,15486.5,15486.5,15486.5,4.0
2023-09-14 22:22,15488.75,15488.75,15486.75,15486.75,7.0
2023-09-14 22:23,15487.0,15487.5,15486.0,15487.0,11.0
2023-09-14 22:24,15486.5,15486.5,15486.5,15486.5,1.0
2023-09-14 22:25,15486.25,15487.5,15486.25,15487.5,2.0
2023-09-14 22:27,15487.0,15487.0,15487.0,15487.0,1.0
2023-09-14 22:28,15487.0,15487.0,15487.0,15487.0,1.0
2023-09-14 22:30,15488.75,15488.75,15488.75,15488.75,1.0
2023-09-14 22:31,15487.5,15487.5,15487.5,15487.5,1.0
2023-09-14 22:32,15485.75,15485.75,15484.75,15484.75,2.0
2023-09-14 22:33,15483.0,15483.0,15482.25,15482.25,2.0
2023-09-14 22:35,15485.5,15485.75,15485.5,15485.75,2.0
2023-09-14 22:36,15487.0,15488.25,15487.0,15487.75,8.0
2023-09-14 22:38,15486.25,15486.25,15486.0,15486.0,2.0
2023-09-14 22:39,15485.75,15485.75,15485.75,15485.75,1.0
2023-09-14 22:41,15486.0,15486.0,15486.0,15486.0,1.0
2023-09-14 22:43,15487.25,15487.25,15487.25,15487.25,3.0
2023-09-14 22:44,15487.25,15487.75,15487.25,15487.25,12.0
2023-09-14 22:45,15488.5,15488.5,15488.5,15488.5,1.0
2023-09-14 22:46,15488.5,15488.5,15488.5,15488.5,7.0
2023-09-14 22:48,15489.5,15490.5,15489.0,15490.0,4.0
2023-09-14 22:49,15490.0,15490.0,15490.0,15490.0,5.0
2023-09-14 22:50,15490.0,15490.0,15489.25,15489.25,2.0
2023-09-14 22:51,15490.0,15490.0,15490.0,15490.0,1.0
2023-09-14 22:53,15490.0,15490.0,15490.0,15490.0,1.0
2023-09-14 22:55,15489.25,15489.25,15486.75,15486.75,3.0
2023-09-14 22:57,15487.0,15487.0,15487.0,15487.0,1.0
2023-09-14 22:58,15485.5,15485.5,15485.5,15485.5,1.0
2023-09-14 23:00,15483.75,15483.75,15483.75,15483.75,1.0
2023-09-14 23:03,15482.0,15482.0,15480.5,15480.5,3.0
2023-09-14 23:05,15485.75,15485.75,15485.75,15485.75,1.0
2023-09-14 23:06,15488.25,15488.25,15488.25,15488.25,1.0
2023-09-14 23:08,15486.75,15489.25,15486.75,15489.25,5.0
2023-09-14 23:09,15490.75,15493.5,15488.0,15489.75,26.0
2023-09-14 23:10,15490.75,15490.75,15490.75,15490.75,1.0
2023-09-14 23:12,15488.75,15488.75,15488.75,15488.75,2.0
2023-09-14 23:13,15488.5,15488.5,15488.5,15488.5,7.0
2023-09-14 23:14,15489.75,15489.75,15489.75,15489.75,1.0
